grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2018/327,TRU,Law Enforcement School of Szeged,"14 Bajai ut 6728 Szeged,",2018/CFP/TRU/01 Six Eusnsgeanrtyial Trainings for Border Guards,56999.22,2018,Hungary,Six Eusnsgeanrtyial Trainings for Border Guards,Training Unit
2018/328,TRU,Law Enforcement School of Szeged,"14 Bajai ut 6728 Szeged,","2018/CFP/TRU/01 Increasing the efficiency of border police measures in the Western Balkan countries with ruegnigoanraylly unified, Schengen compatible, and harmonised training courses by developing a joint curriculum on profiling and screening",56999.22,2018,Hungary,"Increasing the efficiency of border police measures in the Western Balkan countries with ruegnigoanraylly unified, Schengen compatible, and harmonised training courses by developing a joint curriculum on profiling and screening",Training Unit
2018/363,PRU,Hungarian National Police,"4-6. Teve utca, Budapest1139, Hungary",2018/PRU/07 Rapid Border Intervention Exercise 2018,8578,2018,Hungary,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2017/16,RSU,Office of Immigration and Nationality,"1117 Budapest, Budafoki str. 60,Hungary",2017/RSU/01 JRO to Kosovo,1284,2017,Hungary,Return Operations,Return Support Unit
2017/23,RSU,Office of Immigration and Nationality,"1117 Budapest, Budafoki str. 60,Hungary",2017/RSU/01 JRO to Pakistan,6976,2017,Hungary,Return Operations,Return Support Unit
2017/159,RSU,Office of Immigration and Nationality,"1117 Budapest, Budafoki str. 60,Hungary",2017/RSU/01 JRO to Nigeria,4280,2017,Hungary,Return Operations,Return Support Unit
2017/199,ABS,Hungarian National Police,"VÃ¡ci Ãºt 71, Budapest 1139, Hungary",2017/ABS/06 JO Alexis,8435,2017,Hungary,Alexis,Air Border Sector
2017/216,RSU,Office of Immigration and Nationality,"1117 Budapest, Budafoki str. 60,Hungary",2017/RSU/01 JRO to Kosovo,1284,2017,Hungary,Return Operations,Return Support Unit
2017/255,LBS,Hungarian National Police,"VÃ¡ci Ãºt 71, Budapest 1139, Hungary",2017/LBS/01 FOA,16748,2017,Hungary,FOA,Land Borders Sector
2017/289,LBS,Hungarian National Police,"VÃ¡ci Ãºt 71, Budapest 1139, Hungary",2017/LBS/02 Focal Points,5025,2017,Hungary,Focal Points,Land Borders Sector
2017/303,LBS,Hungarian National Police,"VÃ¡ci Ãºt 71, Budapest 1139, Hungary",2017/LBS/03 Coordination Points,4658,2017,Hungary,Coordination Points,Land Borders Sector
2017/304,RSU,Office of Immigration and Nationality,"1117 Budapest, Budafoki str. 60,Hungary",2017/RSU/01 JRO to Pakistan,9223,2017,Hungary,Return Operations,Return Support Unit
2017/416,LBS,Hungarian National Police,"VÃ¡ci Ãºt 71, Budapest 1139, Hungary",2017/LBS/01 FOA,9374,2017,Hungary,FOA,Land Borders Sector
2017/434,SBS,Hungarian National Police,"VÃ¡ci Ãºt 71, Budapest 1139, Hungary",2017/SBS/07 JO Poseidon 2017,8654,2017,Hungary,Poseidon,Sea Border Sector
2017/440,FSC,Hungarian National Police,"VÃ¡ci Ãºt 71, Budapest 1139, Hungary",2017/FSC/02 FSC Support Officer Deployment,6955,2017,Hungary,FSC Support Officer Deployment,Frontex Situation Centre
2017/448,RSU,Office of Immigration and Nationality,"1117 Budapest, Budafoki str. 60,Hungary",2017/RSU/01 JRO to Nigeria,2140,2017,Hungary,Return Operations,Return Support Unit
2017/464,SBS,Hungarian National Police,"VÃ¡ci Ãºt 71, Budapest 1139, Hungary",2017/SBS/05 JO Triton 2017,5988,2017,Hungary,Triton,Sea Border Sector
2017/547,RSU,Office of Immigration and Nationality,"1117 Budapest, Budafoki str. 60,Hungary",2017/RSU/01 JRO to Pakistan,2243,2017,Hungary,Return Operations,Return Support Unit
2017/569,ABS,Hungarian National Police,"VÃ¡ci Ãºt 71, Budapest 1139, Hungary",2017/ABS/06 JO Alexis,8710,2017,Hungary,Alexis,Air Border Sector
2017/585,LBS,Hungarian National Police,"VÃ¡ci Ãºt 71, Budapest 1139, Hungary",2017/LBS/01 FOA,8665,2017,Hungary,FOA,Land Borders Sector
